spot,time,occupied,occID
1,6:00 AM,,1
1,7:00 AM,,1
1,8:00 AM,,1
1,9:00 AM,,1
1,10:00 AM,Construction,50
1,11:00 AM,Construction,50
1,12:00 PM,Construction,50
1,1:00 PM,Construction,50
1,2:00 PM,Construction,50
1,3:00 PM,Construction,50
1,4:00 PM,Construction,50
1,5:00 PM,,1
1,6:00 PM,,1
1,7:00 PM,,1
1,8:00 PM,,1
2,6:00 AM,,1
2,7:00 AM,,1
2,8:00 AM,,1
2,9:00 AM,,1
2,10:00 AM,Construction,50
2,11:00 AM,Construction,50
2,12:00 PM,Construction,50
2,1:00 PM,Construction,50
2,2:00 PM,Construction,50
2,3:00 PM,Construction,50
2,4:00 PM,Construction,50
2,5:00 PM,,1
2,6:00 PM,,1
2,7:00 PM,,1
2,8:00 PM,,1
3,6:00 AM,,1
3,7:00 AM,,1
3,8:00 AM,,1
3,9:00 AM,,1
3,10:00 AM,Construction,50
3,11:00 AM,Construction,50
3,12:00 PM,Construction,50
3,1:00 PM,Construction,50
3,2:00 PM,Construction,50
3,3:00 PM,Construction,50
3,4:00 PM,Construction,50
3,5:00 PM,,1
3,6:00 PM,,1
3,7:00 PM,55K,50
3,8:00 PM,55K,50
4,6:00 AM,1AH,50
4,7:00 AM,,1
4,8:00 AM,,1
4,9:00 AM,,1
4,10:00 AM,Construction,50
4,11:00 AM,Construction,50
4,12:00 PM,Construction,50
4,1:00 PM,Construction,50
4,2:00 PM,Construction,50
4,3:00 PM,Construction,50
4,4:00 PM,Construction,50
4,5:00 PM,2YD,50
4,6:00 PM,2YD,50
4,7:00 PM,2YD,50
4,8:00 PM,2YD,50
5,6:00 AM,V41,50
5,7:00 AM,,1
5,8:00 AM,,1
5,9:00 AM,,1
5,10:00 AM,Construction,50
5,11:00 AM,Construction,50
5,12:00 PM,Construction,50
5,1:00 PM,Construction,50
5,2:00 PM,Construction,50
5,3:00 PM,Construction,50
5,4:00 PM,Construction,50
5,5:00 PM,6WW,50
5,6:00 PM,6WW,50
5,7:00 PM,6WW,50
5,8:00 PM,6WW,50
6,6:00 AM,,1
6,7:00 AM,,1
6,8:00 AM,,1
6,9:00 AM,,1
6,10:00 AM,Construction,50
6,11:00 AM,Construction,50
6,12:00 PM,Construction,50
6,1:00 PM,Construction,50
6,2:00 PM,Construction,50
6,3:00 PM,Construction,50
6,4:00 PM,Construction,50
6,5:00 PM,27B,50
6,6:00 PM,V41,50
6,7:00 PM,,1
6,8:00 PM,58G,50
7,6:00 AM,7XF,50
7,7:00 AM,,1
7,8:00 AM,,1
7,9:00 AM,,1
7,10:00 AM,Construction,50
7,11:00 AM,Construction,50
7,12:00 PM,Construction,50
7,1:00 PM,Construction,50
7,2:00 PM,Construction,50
7,3:00 PM,Construction,50
7,4:00 PM,Construction,50
7,5:00 PM,,1
7,6:00 PM,,1
7,7:00 PM,5EC,50
7,8:00 PM,5EC,50
8,6:00 AM,,1
8,7:00 AM,,1
8,8:00 AM,,1
8,9:00 AM,Construction,50
8,10:00 AM,Construction,50
8,11:00 AM,Construction,50
8,12:00 PM,Construction,50
8,1:00 PM,Construction,50
8,2:00 PM,Construction,50
8,3:00 PM,Construction,50
8,4:00 PM,Construction,50
8,5:00 PM,Construction,50
8,6:00 PM,Construction,50
8,7:00 PM,Construction,50
8,8:00 PM,Construction,50
9,6:00 AM,5LJ,50
9,7:00 AM,,1
9,8:00 AM,,1
9,9:00 AM,Construction,50
9,10:00 AM,Construction,50
9,11:00 AM,Construction,50
9,12:00 PM,Construction,50
9,1:00 PM,Construction,50
9,2:00 PM,Construction,50
9,3:00 PM,Construction,50
9,4:00 PM,Construction,50
9,5:00 PM,Construction,50
9,6:00 PM,Construction,50
9,7:00 PM,Construction,50
9,8:00 PM,Construction,50
10,6:00 AM,Construction,50
10,7:00 AM,Construction,50
10,8:00 AM,Construction,50
10,9:00 AM,Construction,50
10,10:00 AM,Construction,50
10,11:00 AM,Construction,50
10,12:00 PM,Construction,50
10,1:00 PM,Construction,50
10,2:00 PM,Construction,50
10,3:00 PM,Construction,50
10,4:00 PM,Construction,50
10,5:00 PM,Construction,50
10,6:00 PM,Construction,50
10,7:00 PM,Construction,50
10,8:00 PM,Construction,50
11,6:00 AM,Construction,50
11,7:00 AM,Construction,50
11,8:00 AM,Construction,50
11,9:00 AM,Construction,50
11,10:00 AM,Construction,50
11,11:00 AM,Construction,50
11,12:00 PM,Construction,50
11,1:00 PM,Construction,50
11,2:00 PM,Construction,50
11,3:00 PM,Construction,50
11,4:00 PM,Construction,50
11,5:00 PM,Construction,50
11,6:00 PM,Construction,50
11,7:00 PM,Construction,50
11,8:00 PM,Construction,50
12,6:00 AM,,1
12,7:00 AM,,1
12,8:00 AM,,1
12,9:00 AM,Construction,50
12,10:00 AM,Construction,50
12,11:00 AM,Construction,50
12,12:00 PM,Construction,50
12,1:00 PM,Construction,50
12,2:00 PM,Construction,50
12,3:00 PM,Construction,50
12,4:00 PM,Construction,50
12,5:00 PM,Construction,50
12,6:00 PM,Construction,50
12,7:00 PM,Construction,50
12,8:00 PM,Construction,50
13,6:00 AM,,1
13,7:00 AM,,1
13,8:00 AM,,1
13,9:00 AM,Construction,50
13,10:00 AM,Construction,50
13,11:00 AM,Construction,50
13,12:00 PM,Construction,50
13,1:00 PM,Construction,50
13,2:00 PM,Construction,50
13,3:00 PM,Construction,50
13,4:00 PM,Construction,50
13,5:00 PM,Construction,50
13,6:00 PM,Construction,50
13,7:00 PM,Construction,50
13,8:00 PM,Construction,50
14,6:00 AM,,1
14,7:00 AM,,1
14,8:00 AM,,1
14,9:00 AM,Construction,50
14,10:00 AM,Construction,50
14,11:00 AM,Construction,50
14,12:00 PM,Construction,50
14,1:00 PM,Construction,50
14,2:00 PM,Construction,50
14,3:00 PM,Construction,50
14,4:00 PM,Construction,50
14,5:00 PM,Construction,50
14,6:00 PM,Construction,50
14,7:00 PM,Construction,50
14,8:00 PM,Construction,50
15,6:00 AM,,1
15,7:00 AM,,1
15,8:00 AM,,1
15,9:00 AM,Construction,50
15,10:00 AM,Construction,50
15,11:00 AM,Construction,50
15,12:00 PM,Construction,50
15,1:00 PM,Construction,50
15,2:00 PM,Construction,50
15,3:00 PM,Construction,50
15,4:00 PM,Construction,50
15,5:00 PM,Construction,50
15,6:00 PM,Construction,50
15,7:00 PM,Construction,50
15,8:00 PM,1DH,50
16,6:00 AM,,1
16,7:00 AM,,1
16,8:00 AM,,1
16,9:00 AM,Construction,50
16,10:00 AM,Construction,50
16,11:00 AM,Construction,50
16,12:00 PM,Construction,50
16,1:00 PM,Construction,50
