Group Member,Route Number,Side of Street,Relative Spot Number,Absolute Spot Number,Regulation,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name,Street Direction,Start Bound Street,End Bound Street
Ysabelle,1,Right,1,1,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,Massachusetts Avenue,North,Shawmut Avenue,Chester Square - Entrance
Ysabelle,1,Right,2,2,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,,
Ysabelle,1,Right,3,3,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,55K,55K,,,,
Ysabelle,1,Right,4,4,Resident Only,1AH,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,2YD,2YD,2YD,2YD,,,,
Ysabelle,1,Right,5,5,Resident Only,V41,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,6WW,6WW,6WW,6WW,,,,
Ysabelle,1,Right,6,6,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,27B,V41,,58G,,,,
Ysabelle,1,Right,7,7,Resident Only,7XF,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,5EC,5EC,,,,
Ysabelle,2,Right,1,8,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,2,9,Resident Only,5LJ,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,3,10,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,4,11,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,5,12,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,6,13,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
